Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
  96,4.995e-05,1.028e+02,4.1524,3.7907,170.90,133.20,27.600,16.133,0.09518,0.076890,1.856e+01,1.9565,1.6472,164.69,129.07,19.447,12.501,0.087699,0.072095
  97,4.995e-05,1.019e+02,2.8326,2.4851,168.62,131.31,26.981,15.215,0.09474,0.076160,1.447e+01,2.8310,2.6414,140.90,109.16,19.027,12.315,0.087331,0.071782
  98,4.995e-05,8.225e+01,1.7023,1.3668,151.98,117.73,17.349,10.653,0.09468,0.076184,1.779e+01,4.2132,4.0947,159.79,125.37,26.699,16.872,0.086720,0.071077
  99,4.995e-05,9.867e+01,4.2306,4.0053,168.90,131.95,28.572,17.065,0.09484,0.076042,1.994e+01,2.5390,2.2744,172.05,135.68,23.233,14.729,0.086491,0.070703
 100,4.995e-05,9.617e+01,3.3340,2.9505,161.71,125.86,23.256,13.432,0.09475,0.076173,2.292e+01,4.5159,4.4081,184.82,147.12,34.634,21.584,0.087442,0.071938
 101,4.995e-05,9.252e+01,2.6699,2.1744,160.75,125.26,23.264,14.073,0.09474,0.075708,1.229e+01,2.6501,2.4385,127.41, 98.30, 4.845, 3.415,0.087641,0.072235
 102,4.995e-05,9.301e+01,3.6253,3.3433,163.04,126.77,27.008,15.322,0.09478,0.075956,1.416e+01,2.2293,1.9576,140.04,108.75,11.653, 7.782,0.086581,0.070701
 103,4.995e-05,8.445e+01,1.9950,1.5995,152.27,118.09,17.828,10.514,0.09438,0.076049,2.424e+01,4.7583,4.6580,191.10,152.68,36.664,22.753,0.086355,0.070580
 104,4.995e-05,9.681e+01,3.6505,3.2968,164.32,128.21,26.265,15.483,0.09441,0.076040,1.801e+01,2.0094,1.7060,162.15,127.37,19.863,12.716,0.086467,0.070788
 105,4.994e-05,9.493e+01,3.2619,2.9019,162.04,126.41,25.533,14.554,0.09406,0.075741,1.347e+01,3.8369,3.7064,134.87,104.44,17.704,11.478,0.086505,0.070940
 106,4.994e-05,7.919e+01,2.1939,1.8125,148.20,114.95,17.133,10.474,0.09392,0.075793,1.656e+01,4.3897,4.2798,152.92,119.70,25.049,15.858,0.086789,0.071326
 107,4.994e-05,9.214e+01,3.9899,3.7613,161.96,126.40,27.273,16.257,0.09414,0.075993,1.918e+01,2.0486,1.7426,167.83,132.44,22.306,14.146,0.087334,0.071912
 108,4.994e-05,9.108e+01,3.4283,2.9267,156.82,122.09,22.188,12.845,0.09422,0.075787,2.172e+01,5.4869,5.3994,179.44,142.73,33.250,20.710,0.086604,0.070966
 109,4.994e-05,8.796e+01,3.4374,2.9348,155.79,121.53,22.155,13.396,0.09457,0.076421,1.162e+01,2.8763,2.6905,123.37, 95.10, 4.452, 3.143,0.086110,0.070419
 110,4.994e-05,8.855e+01,3.1928,2.9354,158.20,123.07,26.660,15.100,0.09433,0.076088,1.342e+01,1.3369,1.0542,135.08,104.87,10.792, 7.225,0.087093,0.071611
 111,4.994e-05,7.992e+01,1.9499,1.4792,147.06,114.17,17.421,10.264,0.09420,0.075294,2.338e+01,5.2654,5.1749,187.06,149.58,35.768,22.193,0.086654,0.071207
 112,4.994e-05,9.197e+01,4.4062,4.1451,159.64,124.54,25.577,15.052,0.09400,0.075409,1.687e+01,3.0225,2.8243,155.86,122.41,19.106,12.238,0.086314,0.070741
 113,4.994e-05,9.092e+01,3.6252,3.3728,157.68,122.86,25.162,14.282,0.09382,0.075621,1.292e+01,2.7595,2.5798,131.15,101.53,17.513,11.325,0.086757,0.071349
 114,4.993e-05,7.579e+01,1.7074,1.3606,143.99,111.72,16.750,10.252,0.09417,0.075781,1.581e+01,4.5649,4.4622,148.79,116.45,24.371,15.424,0.086302,0.070846
 115,4.993e-05,8.803e+01,4.6200,4.4072,157.11,122.75,26.259,15.728,0.09400,0.075358,1.850e+01,2.4385,2.1884,164.49,129.99,22.388,14.178,0.086546,0.070930
 116,4.993e-05,8.665e+01,2.9630,2.6257,152.48,118.78,21.706,12.612,0.09361,0.075557,2.036e+01,3.8777,3.7578,172.88,137.28,32.056,19.975,0.086224,0.070754
 117,4.993e-05,8.403e+01,2.2018,1.7973,151.48,118.17,21.646,13.130,0.09369,0.075622,1.123e+01,3.2161,3.0553,120.32, 92.75, 4.925, 3.491,0.086447,0.071098
 118,4.993e-05,8.308e+01,5.0936,4.8222,152.23,118.64,24.625,14.015,0.09362,0.075642,1.301e+01,4.2572,4.1301,132.60,103.07,12.215, 8.086,0.086174,0.070248
 119,4.993e-05,7.761e+01,2.5869,2.2241,144.24,112.08,17.790,10.558,0.09436,0.076439,2.191e+01,2.2504,2.0349,180.32,144.05,35.090,21.757,0.086024,0.070650
 120,4.993e-05,8.760e+01,1.5011,1.2239,154.80,120.78,25.043,14.696,0.09428,0.075313,1.655e+01,1.6198,1.3157,154.15,121.25,18.986,12.133,0.085947,0.070551
 121,4.993e-05,8.612e+01,4.8461,4.2641,152.62,119.20,23.707,13.620,0.09344,0.075680,1.202e+01,5.9617,5.8812,125.58, 97.24,15.666,10.189,0.085494,0.070076
 122,4.993e-05,7.385e+01,3.5562,3.1040,141.89,110.08,16.884,10.328,0.09336,0.074943,1.474e+01,4.0902,3.9767,142.68,111.52,23.239,14.716,0.085750,0.070350
 123,4.992e-05,8.255e+01,2.8171,2.4771,151.37,118.12,25.650,15.331,0.09342,0.075215,1.805e+01,1.8487,1.5852,162.48,128.44,21.063,13.348,0.085761,0.070390
